OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key,datetime
206,NA,France,46.2276,2.2137,13882214,0,124375,0,NA,NA,France,2022-01-18 16:21:15
207,French Guiana,France,4,-53,67275,0,348,0,NA,NA,French Guiana, France,2022-01-18 16:21:15
208,French Polynesia,France,-17.6797,-149.4068,47132,0,636,0,NA,NA,French Polynesia, France,2022-01-18 16:21:15
209,Guadeloupe,France,16.265,-61.551,73660,0,835,0,NA,NA,Guadeloupe, France,2022-01-18 16:21:15
210,Martinique,France,14.6415,-61.0242,65380,0,805,0,NA,NA,Martinique, France,2022-01-18 16:21:15
211,Mayotte,France,-12.8275,45.166244,33757,0,186,0,NA,NA,Mayotte, France,2022-01-18 16:21:15
212,New Caledonia,France,-20.904305,165.618042,14157,0,282,0,NA,NA,New Caledonia, France,2022-01-18 16:21:15
213,Reunion,France,-21.1151,55.5364,102216,0,435,0,NA,NA,Reunion, France,2022-01-18 16:21:15
214,Saint Barthelemy,France,17.9,-62.8333,2952,0,6,0,NA,NA,Saint Barthelemy, France,2022-01-18 16:21:15
215,Saint Pierre and Miquelon,France,46.8852,-56.3159,415,0,0,0,NA,NA,Saint Pierre and Miquelon, France,2022-01-18 16:21:15
216,St Martin,France,18.0708,-63.0501,7713,0,60,0,NA,NA,St Martin, France,2022-01-18 16:21:15
217,Wallis and Futuna,France,-14.2938,-178.1165,454,0,7,0,NA,NA,Wallis and Futuna, France,2022-01-18 16:21:15
218,NA,Gabon,-0.8037,11.6094,45405,0,299,0,NA,NA,Gabon,2022-01-18 16:21:15
219,NA,Gambia,13.4432,-15.3101,11572,0,347,0,NA,NA,Gambia,2022-01-18 16:21:15
220,NA,Georgia,42.3154,43.3569,1006864,0,14512,0,NA,NA,Georgia,2022-01-18 16:21:15
221,Baden-Wurttemberg,Germany,48.6616,9.3501,1131663,0,13453,0,NA,NA,Baden-Wurttemberg, Germany,2022-01-18 16:21:15
222,Bayern,Germany,48.7904,11.4979,1465779,0,20190,0,NA,NA,Bayern, Germany,2022-01-18 16:21:15
223,Berlin,Germany,52.52,13.405,404693,0,4067,0,NA,NA,Berlin, Germany,2022-01-18 16:21:15
224,Brandenburg,Germany,52.4125,12.5316,276196,0,4899,0,NA,NA,Brandenburg, Germany,2022-01-18 16:21:15
225,Bremen,Germany,53.0793,8.8017,67153,0,624,0,NA,NA,Bremen, Germany,2022-01-18 16:21:15
226,Hamburg,Germany,53.5511,9.9937,181438,0,2049,0,NA,NA,Hamburg, Germany,2022-01-18 16:21:15
227,Hessen,Germany,50.6521,9.1624,556833,0,8678,0,NA,NA,Hessen, Germany,2022-01-18 16:21:15
228,Mecklenburg-Vorpommern,Germany,53.6127,12.4296,116821,0,1582,0,NA,NA,Mecklenburg-Vorpommern, Germany,2022-01-18 16:21:15
229,Niedersachsen,Germany,52.6367,9.8451,514864,0,7002,0,NA,NA,Niedersachsen, Germany,2022-01-18 16:21:15
230,Nordrhein-Westfalen,Germany,51.4332,7.6616,1577296,0,20781,0,NA,NA,Nordrhein-Westfalen, Germany,2022-01-18 16:21:15
231,Rheinland-Pfalz,Germany,50.1183,7.309,318156,0,4751,0,NA,NA,Rheinland-Pfalz, Germany,2022-01-18 16:21:15
232,Saarland,Germany,49.3964,7.023,83580,0,1299,0,NA,NA,Saarland, Germany,2022-01-18 16:21:15
233,Sachsen,Germany,51.1045,13.2017,684207,0,13835,0,NA,NA,Sachsen, Germany,2022-01-18 16:21:15
234,Sachsen-Anhalt,Germany,51.9503,11.6923,241364,0,4495,0,NA,NA,Sachsen-Anhalt, Germany,2022-01-18 16:21:15
235,Schleswig-Holstein,Germany,54.2194,9.6961,164357,0,1922,0,NA,NA,Schleswig-Holstein, Germany,2022-01-18 16:21:15
236,Thuringen,Germany,51.011,10.8453,304175,0,6278,0,NA,NA,Thuringen, Germany,2022-01-18 16:21:15
237,Unknown,Germany,NA,NA,29603,0,0,0,NA,NA,Unknown, Germany,2022-01-18 16:21:15
238,NA,Ghana,7.9465,-1.0232,153514,0,1343,0,NA,NA,Ghana,2022-01-18 16:21:15
239,NA,Greece,39.0742,21.8243,1679705,0,22087,0,NA,NA,Greece,2022-01-18 16:21:15
240,NA,Grenada,12.1165,-61.679,10188,0,204,0,NA,NA,Grenada,2022-01-18 16:21:15
241,NA,Guatemala,15.7835,-90.2308,653555,0,16179,0,NA,NA,Guatemala,2022-01-18 16:21:15
242,NA,Guinea,9.9456,-9.6966,35602,0,408,0,NA,NA,Guinea,2022-01-18 16:21:15
243,NA,Guinea-Bissau,11.8037,-15.1804,7034,0,152,0,NA,NA,Guinea-Bissau,2022-01-18 16:21:15
244,NA,Guyana,4.860416,-58.93018,52095,0,1096,0,NA,NA,Guyana,2022-01-18 16:21:15
245,NA,Haiti,18.9712,-72.2852,27819,0,780,0,NA,NA,Haiti,2022-01-18 16:21:15
246,NA,Holy See,41.9029,12.4534,27,0,0,0,NA,NA,Holy See,2022-01-18 16:21:15
247,NA,Honduras,15.2,-86.2419,385362,0,10455,0,NA,NA,Honduras,2022-01-18 16:21:15
248,NA,Hungary,47.1625,19.5033,1355084,0,40601,0,NA,NA,Hungary,2022-01-18 16:21:15
249,NA,Iceland,64.9631,-19.0208,49972,0,44,0,NA,NA,Iceland,2022-01-18 16:21:15
250,Andaman and Nicobar Islands,India,11.225999,92.968178,8695,0,129,0,NA,NA,Andaman and Nicobar Islands, India,2022-01-18 16:21:15
251,Andhra Pradesh,India,15.9129,79.74,2110388,0,14510,0,NA,NA,Andhra Pradesh, India,2022-01-18 16:21:15
252,Arunachal Pradesh,India,27.768456,96.384277,57037,0,282,0,NA,NA,Arunachal Pradesh, India,2022-01-18 16:21:15
253,Assam,India,26.357149,92.830441,653717,0,6217,0,NA,NA,Assam, India,2022-01-18 16:21:15
254,Bihar,India,25.679658,85.60484,790653,0,12141,0,NA,NA,Bihar, India,2022-01-18 16:21:15
255,Chandigarh,India,30.733839,76.768278,78492,0,1089,0,NA,NA,Chandigarh, India,2022-01-18 16:21:15
256,Chhattisgarh,India,21.264705,82.035366,1064290,0,13664,0,NA,NA,Chhattisgarh, India,2022-01-18 16:21:15
257,Dadra and Nagar Haveli and Daman and Diu,India,20.194742,73.080901,11006,0,4,0,NA,NA,Dadra and Nagar Haveli and Daman and Diu, India,2022-01-18 16:21:15
258,Delhi,India,28.646519,77.10898,1722497,0,25387,0,NA,NA,Delhi, India,2022-01-18 16:21:15
259,Goa,India,15.359682,74.057396,212649,0,3563,0,NA,NA,Goa, India,2022-01-18 16:21:15
260,Gujarat,India,22.694884,71.590923,938993,0,10164,0,NA,NA,Gujarat, India,2022-01-18 16:21:15
261,Haryana,India,29.20004,76.332824,856102,0,10116,0,NA,NA,Haryana, India,2022-01-18 16:21:15
262,Himachal Pradesh,India,31.927213,77.233081,245811,0,3897,0,NA,NA,Himachal Pradesh, India,2022-01-18 16:21:15
263,Jammu and Kashmir,India,33.75943,76.612638,362200,0,4572,0,NA,NA,Jammu and Kashmir, India,2022-01-18 16:21:15
264,Jharkhand,India,23.654536,85.557631,407808,0,5209,0,NA,NA,Jharkhand, India,2022-01-18 16:21:15
265,Karnataka,India,14.70518,76.166436,3247243,0,38445,0,NA,NA,Karnataka, India,2022-01-18 16:21:15
266,Kerala,India,10.450898,76.405749,5401777,0,50904,0,NA,NA,Kerala, India,2022-01-18 16:21:15
267,Ladakh,India,34.1526,77.5771,23536,0,222,0,NA,NA,Ladakh, India,2022-01-18 16:21:15
268,Lakshadweep,India,13.6999972,72.1833326,10533,0,51,0,NA,NA,Lakshadweep, India,2022-01-18 16:21:15
269,Madhya Pradesh,India,23.541513,78.289633,837893,0,10545,0,NA,NA,Madhya Pradesh, India,2022-01-18 16:21:15
270,Maharashtra,India,19.449759,76.108221,7242921,0,141832,0,NA,NA,Maharashtra, India,2022-01-18 16:21:15
271,Manipur,India,24.738975,93.882541,127493,0,2015,0,NA,NA,Manipur, India,2022-01-18 16:21:15
272,Meghalaya,India,25.536934,91.278882,86532,0,1490,0,NA,NA,Meghalaya, India,2022-01-18 16:21:15
273,Mizoram,India,23.309381,92.83822,153758,0,573,0,NA,NA,Mizoram, India,2022-01-18 16:21:15
274,Nagaland,India,26.06702,94.470302,32964,0,703,0,NA,NA,Nagaland, India,2022-01-18 16:21:15
275,Odisha,India,20.505428,84.418059,1144401,0,8484,0,NA,NA,Odisha, India,2022-01-18 16:21:15
276,Puducherry,India,11.882658,78.86498,138617,0,1890,0,NA,NA,Puducherry, India,2022-01-18 16:21:15
277,Punjab,India,30.841465,75.40879,670460,0,16790,0,NA,NA,Punjab, India,2022-01-18 16:21:15
278,Rajasthan,India,26.583423,73.847973,1046895,0,9010,0,NA,NA,Rajasthan, India,2022-01-18 16:21:15
279,Sikkim,India,27.571671,88.472712,34929,0,413,0,NA,NA,Sikkim, India,2022-01-18 16:21:15
280,Tamil Nadu,India,11.006091,78.400624,2963366,0,37009,0,NA,NA,Tamil Nadu, India,2022-01-18 16:21:15
281,Telangana,India,18.1124,79.0193,711656,0,4060,0,NA,NA,Telangana, India,2022-01-18 16:21:15
282,Tripura,India,23.746783,91.743565,92961,0,844,0,NA,NA,Tripura, India,2022-01-18 16:21:15
283,Unknown,India,NA,NA,0,0,0,0,NA,NA,Unknown, India,2022-01-18 16:21:15
284,Uttar Pradesh,India,26.925425,80.560982,1849665,0,22972,0,NA,NA,Uttar Pradesh, India,2022-01-18 16:21:15
285,Uttarakhand,India,30.156447,79.197608,373249,0,7444,0,NA,NA,Uttarakhand, India,2022-01-18 16:21:15
286,West Bengal,India,23.814082,87.979803,1907084,0,20121,0,NA,NA,West Bengal, India,2022-01-18 16:21:15
287,NA,Indonesia,-0.7893,113.9213,4273783,0,144183,0,NA,NA,Indonesia,2022-01-18 16:21:15
288,NA,Iran,32.427908,53.688046,6227849,0,132113,0,NA,NA,Iran,2022-01-18 16:21:15
289,NA,Iraq,33.223191,43.679291,2125266,0,24262,0,NA,NA,Iraq,2022-01-18 16:21:15
290,NA,Ireland,53.1424,-7.6921,1109818,0,6035,0,NA,NA,Ireland,2022-01-18 16:21:15
291,NA,Israel,31.046051,34.851612,1792130,0,8318,0,NA,NA,Israel,2022-01-18 16:21:15
292,Abruzzo,Italy,42.35122196,13.39843823,167963,0,2705,0,NA,NA,Abruzzo, Italy,2022-01-18 16:21:15
293,Basilicata,Italy,40.63947052,15.80514834,48704,0,658,0,NA,NA,Basilicata, Italy,2022-01-18 16:21:15
294,Calabria,Italy,38.90597598,16.59440194,146790,0,1731,0,NA,NA,Calabria, Italy,2022-01-18 16:21:15
295,Campania,Italy,40.83956555,14.25084984,851120,0,8744,0,NA,NA,Campania, Italy,2022-01-18 16:21:15
296,Emilia-Romagna,Italy,44.49436681,11.3417208,816613,0,14577,0,NA,NA,Emilia-Romagna, Italy,2022-01-18 16:21:15
297,Friuli Venezia Giulia,Italy,45.6494354,13.76813649,209855,0,4355,0,NA,NA,Friuli Venezia Giulia, Italy,2022-01-18 16:21:15
298,Lazio,Italy,41.89277044,12.48366722,702076,0,9535,0,NA,NA,Lazio, Italy,2022-01-18 16:21:15
299,Liguria,Italy,44.41149315,8.9326992,223801,0,4729,0,NA,NA,Liguria, Italy,2022-01-18 16:21:15
300,Lombardia,Italy,45.46679409,9.190347404,1784827,0,35992,0,NA,NA,Lombardia, Italy,2022-01-18 16:21:15
301,Marche,Italy,43.61675973,13.5188753,184334,0,3314,0,NA,NA,Marche, Italy,2022-01-18 16:21:15
302,Molise,Italy,41.55774754,14.65916051,24298,0,516,0,NA,NA,Molise, Italy,2022-01-18 16:21:15
303,P.A. Bolzano,Italy,46.49933453,11.35662422,128509,0,1331,0,NA,NA,P.A. Bolzano, Italy,2022-01-18 16:21:15
304,P.A. Trento,Italy,46.06893511,11.12123097,94945,0,1449,0,NA,NA,P.A. Trento, Italy,2022-01-18 16:21:15
305,Piemonte,Italy,45.0732745,7.680687483,703472,0,12313,0,NA,NA,Piemonte, Italy,2022-01-18 16:21:15
306,Puglia,Italy,41.12559576,16.86736689,440403,0,7064,0,NA,NA,Puglia, Italy,2022-01-18 16:21:15
307,Sardegna,Italy,39.21531192,9.110616306,108213,0,1766,0,NA,NA,Sardegna, Italy,2022-01-18 16:21:15
308,Sicilia,Italy,38.11569725,13.3623567,526659,0,7938,0,NA,NA,Sicilia, Italy,2022-01-18 16:21:15
309,Toscana,Italy,43.76923077,11.25588885,587041,0,7863,0,NA,NA,Toscana, Italy,2022-01-18 16:21:15
310,Umbria,Italy,43.10675841,12.38824698,128670,0,1562,0,NA,NA,Umbria, Italy,2022-01-18 16:21:15
311,Valle d'Aosta,Italy,45.73750286,7.320149366,24121,0,496,0,NA,NA,Valle d'Aosta, Italy,2022-01-18 16:21:15
312,Veneto,Italy,45.43490485,12.33845213,887888,0,12753,0,NA,NA,Veneto, Italy,2022-01-18 16:21:15
313,NA,Jamaica,18.1096,-77.2975,113438,0,2536,0,NA,NA,Jamaica,2022-01-18 16:21:15
314,Aichi,Japan,35.035551,137.211621,117841,0,1165,0,NA,NA,Aichi, Japan,2022-01-18 16:21:15
315,Akita,Japan,39.748679,140.408228,2171,0,27,0,NA,NA,Akita, Japan,2022-01-18 16:21:15
316,Aomori,Japan,40.781541,140.828896,6718,0,39,0,NA,NA,Aomori, Japan,2022-01-18 16:21:15
317,Chiba,Japan,35.510141,140.198917,108696,0,1029,0,NA,NA,Chiba, Japan,2022-01-18 16:21:15
318,Ehime,Japan,33.624835,132.856842,6835,0,82,0,NA,NA,Ehime, Japan,2022-01-18 16:21:15
319,Fukui,Japan,35.846614,136.224654,3717,0,38,0,NA,NA,Fukui, Japan,2022-01-18 16:21:15
320,Fukuoka,Japan,33.526032,130.666949,82482,0,628,0,NA,NA,Fukuoka, Japan,2022-01-18 16:21:15
321,Fukushima,Japan,37.378867,140.223295,10057,0,176,0,NA,NA,Fukushima, Japan,2022-01-18 16:21:15
322,Gifu,Japan,35.778671,137.055925,20909,0,219,0,NA,NA,Gifu, Japan,2022-01-18 16:21:15
323,Gunma,Japan,36.504479,138.985605,19831,0,182,0,NA,NA,Gunma, Japan,2022-01-18 16:21:15
324,Hiroshima,Japan,34.605309,132.788719,32531,0,209,0,NA,NA,Hiroshima, Japan,2022-01-18 16:21:15
325,Hokkaido,Japan,43.385711,142.552318,65970,0,1478,0,NA,NA,Hokkaido, Japan,2022-01-18 16:21:15
326,Hyogo,Japan,35.039913,134.828057,87180,0,1400,0,NA,NA,Hyogo, Japan,2022-01-18 16:21:15
327,Ibaraki,Japan,36.303588,140.319591,26515,0,220,0,NA,NA,Ibaraki, Japan,2022-01-18 16:21:15
328,Ishikawa,Japan,36.769464,136.771027,8646,0,139,0,NA,NA,Ishikawa, Japan,2022-01-18 16:21:15
329,Iwate,Japan,39.593287,141.361777,3638,0,53,0,NA,NA,Iwate, Japan,2022-01-18 16:21:15
330,Kagawa,Japan,34.217292,133.969047,5333,0,38,0,NA,NA,Kagawa, Japan,2022-01-18 16:21:15
331,Kagoshima,Japan,31.009484,130.430665,10840,0,66,0,NA,NA,Kagoshima, Japan,2022-01-18 16:21:15
332,Kanagawa,Japan,35.415312,139.338983,181835,0,1322,0,NA,NA,Kanagawa, Japan,2022-01-18 16:21:15
333,Kochi,Japan,33.422519,133.367307,4407,0,33,0,NA,NA,Kochi, Japan,2022-01-18 16:21:15
334,Kumamoto,Japan,32.608154,130.745231,17438,0,138,0,NA,NA,Kumamoto, Japan,2022-01-18 16:21:15
335,Kyoto,Japan,35.253815,135.443341,42085,0,292,0,NA,NA,Kyoto, Japan,2022-01-18 16:21:15
336,Mie,Japan,34.508018,136.376013,16301,0,165,0,NA,NA,Mie, Japan,2022-01-18 16:21:15
337,Miyagi,Japan,38.446859,140.927086,16978,0,118,0,NA,NA,Miyagi, Japan,2022-01-18 16:21:15
338,Miyazaki,Japan,32.193204,131.299374,6984,0,41,0,NA,NA,Miyazaki, Japan,2022-01-18 16:21:15
339,Nagano,Japan,36.132134,138.045528,11164,0,97,0,NA,NA,Nagano, Japan,2022-01-18 16:21:15
340,Nagasaki,Japan,33.235712,129.608033,7618,0,73,0,NA,NA,Nagasaki, Japan,2022-01-18 16:21:15
341,Nara,Japan,34.317451,135.871644,17653,0,149,0,NA,NA,Nara, Japan,2022-01-18 16:21:15
342,Niigata,Japan,37.521819,138.918647,10301,0,63,0,NA,NA,Niigata, Japan,2022-01-18 16:21:15
343,Oita,Japan,33.200697,131.43324,9090,0,84,0,NA,NA,Oita, Japan,2022-01-18 16:21:15
344,Okayama,Japan,34.89246,133.826252,17319,0,136,0,NA,NA,Okayama, Japan,2022-01-18 16:21:15
345,Okinawa,Japan,25.768923,126.668016,69069,0,398,0,NA,NA,Okinawa, Japan,2022-01-18 16:21:15
346,Osaka,Japan,34.620965,135.507481,230805,0,3070,0,NA,NA,Osaka, Japan,2022-01-18 16:21:15
347,Port Quarantine,Japan,NA,NA,4463,0,4,0,NA,NA,Port Quarantine, Japan,2021-11-10 23:21:44
348,Saga,Japan,33.286977,130.115738,7204,0,30,0,NA,NA,Saga, Japan,2022-01-18 16:21:15
349,Saitama,Japan,35.997101,139.347635,125641,0,1060,0,NA,NA,Saitama, Japan,2022-01-18 16:21:15
350,Shiga,Japan,35.215827,136.138064,15007,0,105,0,NA,NA,Shiga, Japan,2022-01-18 16:21:15
351,Shimane,Japan,35.07076,132.554064,2608,0,5,0,NA,NA,Shimane, Japan,2022-01-18 16:21:15
352,Shizuoka,Japan,34.916975,138.407784,30552,0,210,0,NA,NA,Shizuoka, Japan,2022-01-18 16:21:15
353,Tochigi,Japan,36.689912,139.819213,17491,0,119,0,NA,NA,Tochigi, Japan,2022-01-18 16:21:15
354,Tokushima,Japan,33.919178,134.242091,3542,0,66,0,NA,NA,Tokushima, Japan,2022-01-18 16:21:15
355,Tokyo,Japan,35.711343,139.446921,416738,0,3179,0,NA,NA,Tokyo, Japan,2022-01-18 16:21:15
356,Tottori,Japan,35.359069,133.863619,2060,0,5,0,NA,NA,Tottori, Japan,2022-01-18 16:21:15
357,Toyama,Japan,36.637464,137.269346,5148,0,52,0,NA,NA,Toyama, Japan,2022-01-18 16:21:15
358,Unknown,Japan,NA,NA,8,0,0,0,NA,NA,Unknown, Japan,2021-11-10 23:21:44
359,Wakayama,Japan,33.911879,135.505446,6426,0,62,0,NA,NA,Wakayama, Japan,2022-01-18 16:21:15
360,Yamagata,Japan,38.448396,140.102154,3914,0,56,0,NA,NA,Yamagata, Japan,2022-01-18 16:21:15
361,Yamaguchi,Japan,34.20119,131.573293,8633,0,94,0,NA,NA,Yamaguchi, Japan,2022-01-18 16:21:15
362,Yamanashi,Japan,35.612364,138.611489,5999,0,29,0,NA,NA,Yamanashi, Japan,2022-01-18 16:21:15
363,NA,Jordan,31.24,36.51,1111181,0,13014,0,NA,NA,Jordan,2022-01-18 16:21:15
364,NA,Kazakhstan,48.0196,66.9237,1155871,0,18318,0,NA,NA,Kazakhstan,2022-01-18 16:21:15
365,NA,Kenya,-0.0236,37.9062,318249,0,5504,0,NA,NA,Kenya,2022-01-18 16:21:15
366,NA,Kiribati,-3.3704,-168.734,2,0,0,0,NA,NA,Kiribati,2022-01-18 16:21:15
367,NA,Korea, South,35.907757,127.766922,700102,0,6378,0,NA,NA,Korea, South,2022-01-18 16:21:15
368,NA,Kosovo,42.602636,20.902977,167582,0,2995,0,NA,NA,Kosovo,2022-01-18 16:21:15
369,NA,Kuwait,29.31166,47.481766,475303,0,2479,0,NA,NA,Kuwait,2022-01-18 16:21:15
370,NA,Kyrgyzstan,41.20438,74.766098,191288,0,2836,0,NA,NA,Kyrgyzstan,2022-01-18 16:21:15
371,NA,Laos,19.85627,102.495496,126066,0,500,0,NA,NA,Laos,2022-01-18 16:21:15
372,NA,Latvia,56.8796,24.6032,309060,0,4742,0,NA,NA,Latvia,2022-01-18 16:21:15
373,NA,Lebanon,33.8547,35.8623,826279,0,9397,0,NA,NA,Lebanon,2022-01-18 16:21:15
374,NA,Lesotho,-29.61,28.2336,31734,0,687,0,NA,NA,Lesotho,2022-01-18 16:21:15
375,NA,Liberia,6.428055,-9.429499,7121,0,287,0,NA,NA,Liberia,2022-01-18 16:21:15
376,NA,Libya,26.3351,17.228331,398940,0,5863,0,NA,NA,Libya,2022-01-18 16:21:15
377,NA,Liechtenstein,47.14,9.55,7340,0,73,0,NA,NA,Liechtenstein,2022-01-18 16:21:15
378,NA,Lithuania,55.1694,23.8813,575357,0,7681,0,NA,NA,Lithuania,2022-01-18 16:21:15
379,NA,Luxembourg,49.8153,6.1296,127765,0,938,0,NA,NA,Luxembourg,2022-01-18 16:21:15
380,NA,MS Zaandam,NA,NA,9,0,2,0,NA,NA,MS Zaandam,2022-01-18 16:21:15
381,NA,Madagascar,-18.766947,46.869107,55827,0,1169,0,NA,NA,Madagascar,2022-01-18 16:21:15
382,NA,Malawi,-13.2543,34.3015,82792,0,2474,0,NA,NA,Malawi,2022-01-18 16:21:15
383,Johor,Malaysia,1.4854,103.7618,251131,0,3894,0,NA,NA,Johor, Malaysia,2022-01-18 16:21:15
384,Kedah,Malaysia,6.1184,100.3685,172096,0,2180,0,NA,NA,Kedah, Malaysia,2022-01-18 16:21:15
385,Kelantan,Malaysia,6.1254,102.2381,173729,0,1267,0,NA,NA,Kelantan, Malaysia,2022-01-18 16:21:15
386,Melaka,Malaysia,2.1896,102.2501,78862,0,964,0,NA,NA,Melaka, Malaysia,2022-01-18 16:21:15
387,Negeri Sembilan,Malaysia,2.7258,101.9424,115800,0,1329,0,NA,NA,Negeri Sembilan, Malaysia,2022-01-18 16:21:15
388,Pahang,Malaysia,3.8126,103.3256,98694,0,794,0,NA,NA,Pahang, Malaysia,2022-01-18 16:21:15
389,Perak,Malaysia,4.5921,101.0901,131270,0,1420,0,NA,NA,Perak, Malaysia,2022-01-18 16:21:15
390,Perlis,Malaysia,6.4449,100.2048,7413,0,137,0,NA,NA,Perlis, Malaysia,2022-01-18 16:21:15
391,Pulau Pinang,Malaysia,5.4141,100.3288,164249,0,1763,0,NA,NA,Pulau Pinang, Malaysia,2022-01-18 16:21:15
392,Sabah,Malaysia,5.9788,116.0753,244380,0,2809,0,NA,NA,Sabah, Malaysia,2022-01-18 16:21:15
393,Sarawak,Malaysia,1.5533,110.3592,252609,0,1620,0,NA,NA,Sarawak, Malaysia,2022-01-18 16:21:15
394,Selangor,Malaysia,3.0738,101.5183,800311,0,10021,0,NA,NA,Selangor, Malaysia,2022-01-18 16:21:15
395,Terengganu,Malaysia,5.3117,103.1324,84354,0,746,0,NA,NA,Terengganu, Malaysia,2022-01-18 16:21:15
396,Unknown,Malaysia,NA,NA,0,0,0,0,NA,NA,Unknown, Malaysia,2022-01-18 16:21:15
397,W.P. Kuala Lumpur,Malaysia,3.139,101.6869,214997,0,2692,0,NA,NA,W.P. Kuala Lumpur, Malaysia,2022-01-18 16:21:15
398,W.P. Labuan,Malaysia,5.2831,115.2308,10998,0,151,0,NA,NA,W.P. Labuan, Malaysia,2022-01-18 16:21:15
399,W.P. Putrajaya,Malaysia,2.9264,101.6964,9796,0,22,0,NA,NA,W.P. Putrajaya, Malaysia,2022-01-18 16:21:15
400,NA,Maldives,3.2028,73.2207,105001,0,265,0,NA,NA,Maldives,2022-01-18 16:21:15
401,NA,Mali,17.570692,-3.996166,28755,0,692,0,NA,NA,Mali,2022-01-18 16:21:15
402,NA,Malta,35.9375,14.3754,64377,0,509,0,NA,NA,Malta,2022-01-18 16:21:15
403,NA,Marshall Islands,7.1315,171.1845,7,0,0,0,NA,NA,Marshall Islands,2022-01-18 16:21:15
404,NA,Mauritania,21.0079,-10.9408,55395,0,909,0,NA,NA,Mauritania,2022-01-18 16:21:15
405,NA,Mauritius,-20.348404,57.552152,24903,0,240,0,NA,NA,Mauritius,2022-01-18 16:21:15
406,Aguascalientes,Mexico,21.8853,-102.2916,43496,0,3091,0,NA,NA,Aguascalientes, Mexico,2022-01-18 16:21:15
407,Baja California,Mexico,30.8406,-115.2838,105550,0,11315,0,NA,NA,Baja California, Mexico,2022-01-18 16:21:15
